	id	treatment	condition	day	bwc	bur2h	dscore	nesting
1	AA52	pancreatitis	Panc + V (miRNA-21 inh.)	-1	100	100	0	NA
2	AA52	pancreatitis	Panc + V (miRNA-21 inh.)	2	98.5714285714286	38.5964912280702	0	NA
3	AA52	pancreatitis	Panc + V (miRNA-21 inh.)	16	96.7391304347826	94.1520467836257	0	NA
4	AA52	pancreatitis	Panc + V (miRNA-21 inh.)	30	103.370786516854	106.432748538012	0	NA
5	AA53	pancreatitis	Panc + V (miRNA-21 inh.)	-1	100	100	0	NA
6	AA53	pancreatitis	Panc + V (miRNA-21 inh.)	2	99.6610169491525	44.0298507462687	0	NA
7	AA53	pancreatitis	Panc + V (miRNA-21 inh.)	16	96.5986394557823	63.4328358208955	0	NA
8	AA53	pancreatitis	Panc + V (miRNA-21 inh.)	30	96.4788732394366	44.7761194029851	0	NA
9	AA54	pancreatitis	Panc + miRNA-21 inh.	-1	100	100	0	NA
10	AA54	pancreatitis	Panc + miRNA-21 inh.	2	96.7509025270758	69.3548387096774	0	NA
11	AA54	pancreatitis	Panc + miRNA-21 inh.	16	94.7761194029851	77.9569892473118	0	NA
12	AA54	pancreatitis	Panc + miRNA-21 inh.	30	104.330708661417	107.52688172043	0	NA
13	AA55	pancreatitis	Panc + V (miRNA-21 inh.)	-1	100	100	0	NA
14	AA55	pancreatitis	Panc + V (miRNA-21 inh.)	2	94.8148148148148	0	0	NA
15	AA55	pancreatitis	Panc + V (miRNA-21 inh.)	16	98.4375	43.8356164383562	0	NA
16	AA55	pancreatitis	Panc + V (miRNA-21 inh.)	30	101.587301587302	80.8219178082192	0	NA
17	AA56	pancreatitis	Panc + miRNA-21 inh.	-1	100	100	0	NA
18	AA56	pancreatitis	Panc + miRNA-21 inh.	2	96	0	0	NA
19	AA56	pancreatitis	Panc + miRNA-21 inh.	16	101.893939393939	5.76923076923077	0	NA
20	AA56	pancreatitis	Panc + miRNA-21 inh.	30	101.486988847584	138.461538461538	0	NA
21	AA57	pancreatitis	Panc + V (miRNA-21 inh.)	-1	100	100	0	NA
22	AA57	pancreatitis	Panc + V (miRNA-21 inh.)	2	96.7272727272727	115.483870967742	0	NA
23	AA57	pancreatitis	Panc + V (miRNA-21 inh.)	16	96.2406015037594	74.8387096774194	0	NA
24	AA57	pancreatitis	Panc + V (miRNA-21 inh.)	30	103.125	104.516129032258	0	NA
25	AA58	pancreatitis	Panc + miRNA-21 inh.	-1	100	100	0	NA
26	AA58	pancreatitis	Panc + miRNA-21 inh.	2	101.071428571429	43.6548223350254	0	NA
27	AA58	pancreatitis	Panc + miRNA-21 inh.	16	97.8798586572438	81.2182741116751	0	NA
28	AA58	pancreatitis	Panc + miRNA-21 inh.	30	93.5018050541516	0.50761421319797	0	NA
29	AA59	pancreatitis	Panc + V (miRNA-21 inh.)	-1	100	100	0	NA
30	AA59	pancreatitis	Panc + V (miRNA-21 inh.)	2	96.742671009772	0	0	NA
31	AA59	pancreatitis	Panc + V (miRNA-21 inh.)	16	96.2962962962963	63.3802816901408	2	NA
32	AA59	pancreatitis	Panc + V (miRNA-21 inh.)	30	98.6013986013986	71.1267605633803	2	NA
33	AA61	pancreatitis	Panc + miRNA-21 inh.	-1	100	100	0	NA
34	AA61	pancreatitis	Panc + miRNA-21 inh.	2	96.0714285714286	148.101265822785	0	NA
35	AA61	pancreatitis	Panc + miRNA-21 inh.	16	99.6282527881041	215.189873417722	0	NA
36	AA61	pancreatitis	Panc + miRNA-21 inh.	30	97.7611940298507	181.012658227848	0	NA
37	AA110	pancreatitis	Panc + V (miRNA-21 inh.)	-1	100	100	0	NA
38	AA110	pancreatitis	Panc + V (miRNA-21 inh.)	2	95.3846153846154	138.888888888889	0	NA
39	AA110	pancreatitis	Panc + V (miRNA-21 inh.)	16	97.9838709677419	231.481481481481	0	NA
40	AA110	pancreatitis	Panc + V (miRNA-21 inh.)	30	100.82304526749	133.333333333333	0	NA
41	AA112	pancreatitis	Panc + miRNA-21 inh.	-1	100	100	0	NA
42	AA112	pancreatitis	Panc + miRNA-21 inh.	2	92.7272727272727	0	0	NA
43	AA112	pancreatitis	Panc + miRNA-21 inh.	16	98.0392156862745	1.35135135135135	0	NA
44	AA112	pancreatitis	Panc + miRNA-21 inh.	30	100	116.891891891892	0	NA
45	AA113	pancreatitis	Panc + miRNA-21 inh.	-1	100	100	2	NA
46	AA113	pancreatitis	Panc + miRNA-21 inh.	2	94.2982456140351	300	0	NA
47	AA113	pancreatitis	Panc + miRNA-21 inh.	16	96.2790697674419	171.428571428571	0	NA
48	AA113	pancreatitis	Panc + miRNA-21 inh.	30	107.246376811594	21.4285714285714	0	NA
49	AA114	pancreatitis	Panc + miRNA-21 inh.	-1	100	100	0	NA
50	AA114	pancreatitis	Panc + miRNA-21 inh.	2	93.6507936507937	1.78571428571429	0	NA
51	AA114	pancreatitis	Panc + miRNA-21 inh.	16	99.5762711864407	1.19047619047619	0	NA
52	AA114	pancreatitis	Panc + miRNA-21 inh.	30	99.1489361702128	0.595238095238095	0	NA
53	AA117	pancreatitis	Panc + miRNA-21 inh.	-1	100	100	0	NA
54	AA117	pancreatitis	Panc + miRNA-21 inh.	2	95.4372623574144	96.5986394557823	0	NA
55	AA117	pancreatitis	Panc + miRNA-21 inh.	16	100	62.5850340136054	0	NA
56	AA117	pancreatitis	Panc + miRNA-21 inh.	30	98.00796812749	0	0	NA
57	AA118	pancreatitis	Panc + V (miRNA-21 inh.)	-1	100	100	0	NA
58	AA118	pancreatitis	Panc + V (miRNA-21 inh.)	2	97.6284584980237	219.178082191781	0	NA
59	AA118	pancreatitis	Panc + V (miRNA-21 inh.)	16	98.7854251012146	194.520547945205	0	NA
60	AA118	pancreatitis	Panc + V (miRNA-21 inh.)	30	101.639344262295	82.1917808219178	0	NA
61	AA119	pancreatitis	Panc + V (miRNA-21 inh.)	-1	100	100	0	NA
62	AA119	pancreatitis	Panc + V (miRNA-21 inh.)	2	96.8253968253968	108.695652173913	0	NA
63	AA119	pancreatitis	Panc + V (miRNA-21 inh.)	16	100	77.1739130434783	0	NA
64	AA119	pancreatitis	Panc + V (miRNA-21 inh.)	30	99.5901639344262	78.2608695652174	0	NA
65	AA68	pancreatitis	Panc + V (miRNA-21 inh.)	-1	NA	NA	0	6
66	AA68	pancreatitis	Panc + V (miRNA-21 inh.)	2	NA	NA	0	4
67	AA68	pancreatitis	Panc + V (miRNA-21 inh.)	16	NA	NA	0	5
68	AA68	pancreatitis	Panc + V (miRNA-21 inh.)	30	NA	NA	0	5
69	AA69	pancreatitis	Panc + V (miRNA-21 inh.)	-1	NA	NA	0	5
70	AA69	pancreatitis	Panc + V (miRNA-21 inh.)	2	NA	NA	0	5
71	AA69	pancreatitis	Panc + V (miRNA-21 inh.)	16	NA	NA	0	5
72	AA69	pancreatitis	Panc + V (miRNA-21 inh.)	30	NA	NA	0	4
73	AA70	pancreatitis	Panc + miRNA-21 inh.	-1	NA	NA	0	6
74	AA70	pancreatitis	Panc + miRNA-21 inh.	2	NA	NA	0	5
75	AA70	pancreatitis	Panc + miRNA-21 inh.	16	NA	NA	0	4
76	AA70	pancreatitis	Panc + miRNA-21 inh.	30	NA	NA	0	4
77	AA71	pancreatitis	Panc + miRNA-21 inh.	-1	NA	NA	0	6
78	AA71	pancreatitis	Panc + miRNA-21 inh.	2	NA	NA	0	5
79	AA71	pancreatitis	Panc + miRNA-21 inh.	16	NA	NA	0	4
80	AA71	pancreatitis	Panc + miRNA-21 inh.	30	NA	NA	0	4
81	AA72	pancreatitis	Panc + miRNA-21 inh.	-1	NA	NA	0	5
82	AA72	pancreatitis	Panc + miRNA-21 inh.	2	NA	NA	0	4
83	AA72	pancreatitis	Panc + miRNA-21 inh.	16	NA	NA	0	4
84	AA72	pancreatitis	Panc + miRNA-21 inh.	30	NA	NA	0	5
85	AA73	pancreatitis	Panc + V (miRNA-21 inh.)	-1	NA	NA	0	6
86	AA73	pancreatitis	Panc + V (miRNA-21 inh.)	2	NA	NA	0	5
87	AA73	pancreatitis	Panc + V (miRNA-21 inh.)	16	NA	NA	0	4
88	AA73	pancreatitis	Panc + V (miRNA-21 inh.)	30	NA	NA	0	4
89	AA74	pancreatitis	Panc + V (miRNA-21 inh.)	-1	NA	NA	0	5
90	AA74	pancreatitis	Panc + V (miRNA-21 inh.)	2	NA	NA	0	3
91	AA74	pancreatitis	Panc + V (miRNA-21 inh.)	16	NA	NA	0	3
92	AA74	pancreatitis	Panc + V (miRNA-21 inh.)	30	NA	NA	0	4
93	AA76	pancreatitis	Panc + V (miRNA-21 inh.)	-1	NA	NA	0	6
94	AA76	pancreatitis	Panc + V (miRNA-21 inh.)	2	NA	NA	0	6
95	AA76	pancreatitis	Panc + V (miRNA-21 inh.)	16	NA	NA	0	4
96	AA76	pancreatitis	Panc + V (miRNA-21 inh.)	30	NA	NA	0	4
97	AA77	pancreatitis	Panc + miRNA-21 inh.	-1	NA	NA	0	5
98	AA77	pancreatitis	Panc + miRNA-21 inh.	2	NA	NA	0	4
99	AA77	pancreatitis	Panc + miRNA-21 inh.	16	NA	NA	0	4
100	AA77	pancreatitis	Panc + miRNA-21 inh.	30	NA	NA	0	4
101	AA110	pancreatitis	Panc + V (miRNA-21 inh.)	-1	NA	NA	0	5
102	AA110	pancreatitis	Panc + V (miRNA-21 inh.)	2	NA	NA	0	5
103	AA110	pancreatitis	Panc + V (miRNA-21 inh.)	16	NA	NA	0	4
104	AA110	pancreatitis	Panc + V (miRNA-21 inh.)	30	NA	NA	0	4
105	AA112	pancreatitis	Panc + miRNA-21 inh.	-1	NA	NA	0	5
106	AA112	pancreatitis	Panc + miRNA-21 inh.	2	NA	NA	0	6
107	AA112	pancreatitis	Panc + miRNA-21 inh.	16	NA	NA	0	4
108	AA112	pancreatitis	Panc + miRNA-21 inh.	30	NA	NA	0	4
109	AA113	pancreatitis	Panc + miRNA-21 inh.	-1	NA	NA	0	6
110	AA113	pancreatitis	Panc + miRNA-21 inh.	2	NA	NA	0	5
111	AA113	pancreatitis	Panc + miRNA-21 inh.	16	NA	NA	0	4
112	AA113	pancreatitis	Panc + miRNA-21 inh.	30	NA	NA	0	4
113	AA114	pancreatitis	Panc + miRNA-21 inh.	-1	NA	NA	0	5
114	AA114	pancreatitis	Panc + miRNA-21 inh.	2	NA	NA	0	4
115	AA114	pancreatitis	Panc + miRNA-21 inh.	16	NA	NA	0	4
116	AA114	pancreatitis	Panc + miRNA-21 inh.	30	NA	NA	0	4
117	AA117	pancreatitis	Panc + miRNA-21 inh.	-1	NA	NA	0	5
118	AA117	pancreatitis	Panc + miRNA-21 inh.	2	NA	NA	0	5
119	AA117	pancreatitis	Panc + miRNA-21 inh.	16	NA	NA	0	4
120	AA117	pancreatitis	Panc + miRNA-21 inh.	30	NA	NA	0	5
121	AA118	pancreatitis	Panc + V (miRNA-21 inh.)	-1	NA	NA	0	4
122	AA118	pancreatitis	Panc + V (miRNA-21 inh.)	2	NA	NA	0	4
123	AA118	pancreatitis	Panc + V (miRNA-21 inh.)	16	NA	NA	0	4
124	AA118	pancreatitis	Panc + V (miRNA-21 inh.)	30	NA	NA	0	4
125	AA119	pancreatitis	Panc + V (miRNA-21 inh.)	-1	NA	NA	0	4
126	AA119	pancreatitis	Panc + V (miRNA-21 inh.)	2	NA	NA	0	4
127	AA119	pancreatitis	Panc + V (miRNA-21 inh.)	16	NA	NA	0	4
128	AA119	pancreatitis	Panc + V (miRNA-21 inh.)	30	NA	NA	0	4
129	MIL19	BDL	BDL + V (MCC950)	-1	100	100	0	NA
130	MIL19	BDL	BDL + V (MCC950)	0	96.1783439490446	94	3	NA
131	MIL19	BDL	BDL + V (MCC950)	1	96.1783439490446	100	3	NA
132	MIL19	BDL	BDL + V (MCC950)	4	94.9044585987261	100	5	NA
133	MIL19	BDL	BDL + V (MCC950)	13	86.9426751592357	86.5	7	NA
134	MIL20	BDL	BDL + MCC950	-1	100	100	0	NA
135	MIL20	BDL	BDL + MCC950	0	99.6575342465753	96.5	5	NA
136	MIL20	BDL	BDL + MCC950	1	95.2054794520548	1.5	5	NA
137	MIL20	BDL	BDL + MCC950	4	98.2876712328767	96.5	5	NA
138	MIL20	BDL	BDL + MCC950	13	83.5616438356164	2.5	9	NA
139	MIL21	BDL	BDL + MCC950	-1	100	100	0	NA
140	MIL21	BDL	BDL + MCC950	0	100	12	3	NA
141	MIL21	BDL	BDL + MCC950	1	100.701754385965	96.5	5	NA
142	MIL21	BDL	BDL + MCC950	4	98.2456140350877	62.5	5	NA
143	MIL21	BDL	BDL + MCC950	13	89.1228070175439	1.5	7	NA
144	MIL22	BDL	BDL + V (MCC950)	-1	100	100	0	NA
145	MIL22	BDL	BDL + V (MCC950)	0	102.265372168285	96.5	3	NA
146	MIL22	BDL	BDL + V (MCC950)	1	101.294498381877	99	3	NA
147	MIL22	BDL	BDL + V (MCC950)	4	101.294498381877	97.5	5	NA
148	MIL22	BDL	BDL + V (MCC950)	13	94.1747572815534	34	7	NA
149	NS59	BDL	BDL + MCC950	-1	100	100	0	NA
150	NS59	BDL	BDL + MCC950	0	97.0656370656371	14	0	NA
151	NS59	BDL	BDL + MCC950	1	96.6409266409267	1.5	2	NA
152	NS59	BDL	BDL + MCC950	4	103.976833976834	83	2	NA
153	NS59	BDL	BDL + MCC950	13	95.7528957528958	7	2	NA
154	NS64	BDL	BDL + V (MCC950)	-1	100	100	0	NA
155	NS64	BDL	BDL + V (MCC950)	0	103.125	100	2	NA
156	NS64	BDL	BDL + V (MCC950)	1	102.34375	95	2	NA
157	NS64	BDL	BDL + V (MCC950)	4	100.78125	100	2	NA
158	NS64	BDL	BDL + V (MCC950)	13	86.328125	13.5	10	NA
159	NS65	BDL	BDL + MCC950	-1	100	100	0	NA
160	NS65	BDL	BDL + MCC950	0	92.4460431654676	18.6868686868687	2	NA
161	NS65	BDL	BDL + MCC950	1	94.2446043165468	101.010101010101	2	NA
162	NS65	BDL	BDL + MCC950	4	93.8848920863309	23.7373737373737	2	NA
163	NS65	BDL	BDL + MCC950	13	79.4964028776978	8.08080808080808	4	NA
164	NS68	BDL	BDL + V (MCC950)	-1	100	100	0	NA
165	NS68	BDL	BDL + V (MCC950)	0	92.6406926406926	0.5	2	NA
166	NS68	BDL	BDL + V (MCC950)	1	93.9393939393939	63	2	NA
167	NS68	BDL	BDL + V (MCC950)	4	98.2683982683983	93	2	NA
168	NS68	BDL	BDL + V (MCC950)	13	89.95670995671	2.5	4	NA
169	NS69	BDL	BDL + MCC950	-1	100	100	0	NA
170	NS69	BDL	BDL + MCC950	0	99.1596638655462	3	2	NA
171	NS69	BDL	BDL + MCC950	1	93.6974789915966	30.5	2	NA
172	NS69	BDL	BDL + MCC950	4	96.6386554621849	57.5	2	NA
173	NS69	BDL	BDL + MCC950	13	88.1512605042017	40	4	NA
174	NS71	BDL	BDL + V (MCC950)	-1	100	100	0	NA
175	NS71	BDL	BDL + V (MCC950)	0	95.2789699570815	15.8974358974359	2	NA
176	NS71	BDL	BDL + V (MCC950)	1	90.1287553648069	101.025641025641	4	NA
177	NS71	BDL	BDL + V (MCC950)	4	94.8497854077253	56.4102564102564	2	NA
178	NS71	BDL	BDL + V (MCC950)	13	89.2703862660944	2.56410256410256	4	NA
179	GT65	BDL	BDL + MCC950	-1	100	100	0	NA
180	GT65	BDL	BDL + MCC950	0	97.4571873378308	63	2	NA
181	GT65	BDL	BDL + MCC950	1	98.9621172807473	96	2	NA
182	GT65	BDL	BDL + MCC950	4	96.8863518422418	92	2	NA
183	GT65	BDL	BDL + MCC950	13	90.9185262065387	49.5	7	NA
184	GT64	BDL	BDL + V (MCC950)	-1	100	100	0	NA
185	GT64	BDL	BDL + V (MCC950)	0	93.859184753838	0	2	NA
186	GT64	BDL	BDL + V (MCC950)	1	93.276866066702	100	4	NA
187	GT64	BDL	BDL + V (MCC950)	4	91.5828480677607	62.5	2	NA
188	GT64	BDL	BDL + V (MCC950)	13	86.5537321334039	38	9	NA
189	GT66	BDL	BDL + V (MCC950)	-1	100	100	0	NA
190	GT66	BDL	BDL + V (MCC950)	0	101.040462427746	99.4897959183673	2	NA
191	GT66	BDL	BDL + V (MCC950)	1	107.109826589595	72.9591836734694	2	NA
192	GT66	BDL	BDL + V (MCC950)	4	91.3872832369942	56.6326530612245	4	NA
193	GT66	BDL	BDL + V (MCC950)	13	96.0693641618497	55.1020408163265	7	NA
194	GT67	BDL	BDL + MCC950	-1	100	100	0	NA
195	GT67	BDL	BDL + MCC950	0	96.8780019212296	34	0	NA
196	GT67	BDL	BDL + MCC950	1	92.9394812680115	0	2	NA
197	GT67	BDL	BDL + MCC950	4	92.9875120076849	52.5	4	NA
198	GT67	BDL	BDL + MCC950	13	87.7041306436119	83	9	NA
199	GT70	BDL	BDL + V (MCC950)	-1	100	100	0	NA
200	GT70	BDL	BDL + V (MCC950)	0	95.6319369853205	79.5	2	NA
201	GT70	BDL	BDL + V (MCC950)	1	94.8084496956677	99	2	NA
202	GT70	BDL	BDL + V (MCC950)	4	90.1897601145722	95.5	4	NA
203	GT70	BDL	BDL + V (MCC950)	13	80.3079126387397	52.5	9	NA
204	GT71	BDL	BDL + V (MCC950)	-1	100	100	0	NA
205	GT71	BDL	BDL + V (MCC950)	0	96.373779637378	2.20994475138122	2	NA
206	GT71	BDL	BDL + V (MCC950)	1	94.2468619246862	7.73480662983425	2	NA
207	GT71	BDL	BDL + V (MCC950)	4	91.2133891213389	65.7458563535912	4	NA
208	GT71	BDL	BDL + V (MCC950)	13	82.2524407252441	8.28729281767956	7	NA
209	NS82	BDL	BDL + V (MCC950)	-1	100	NA	NA	6
210	NS82	BDL	BDL + V (MCC950)	0	97.0212765957447	NA	NA	3
211	NS82	BDL	BDL + V (MCC950)	1	100	NA	NA	3
212	NS82	BDL	BDL + V (MCC950)	4	100.851063829787	NA	NA	4
213	NS82	BDL	BDL + V (MCC950)	13	87.8723404255319	NA	NA	6
214	NS83	BDL	BDL + MCC950	-1	100	NA	NA	6
215	NS83	BDL	BDL + MCC950	0	94.488188976378	NA	NA	1
216	NS83	BDL	BDL + MCC950	1	89.7637795275591	NA	NA	2
217	NS83	BDL	BDL + MCC950	4	94.488188976378	NA	NA	5
218	NS83	BDL	BDL + MCC950	13	84.6456692913386	NA	NA	1
219	NS87	BDL	BDL + MCC950	-1	100	NA	NA	6
220	NS87	BDL	BDL + MCC950	0	89.8550724637681	NA	NA	1
221	NS87	BDL	BDL + MCC950	1	92.0289855072464	NA	NA	1
222	NS87	BDL	BDL + MCC950	4	89.8550724637681	NA	NA	4
223	NS87	BDL	BDL + MCC950	13	78.5144927536232	NA	NA	3
224	GT44	BDL	BDL + V (MCC950)	-1	100	NA	NA	6
225	GT44	BDL	BDL + V (MCC950)	0	97.1119133574007	NA	NA	1
226	GT44	BDL	BDL + V (MCC950)	1	94.2238267148014	NA	NA	1
227	GT44	BDL	BDL + V (MCC950)	4	91.6064981949458	NA	NA	1
228	GT44	BDL	BDL + V (MCC950)	13	90.4332129963899	NA	NA	1
229	NSW2C	BDL	BDL + V (MCC950)	-1	100	NA	NA	5
230	NSW2C	BDL	BDL + V (MCC950)	0	94.263862332696	NA	NA	1
231	NSW2C	BDL	BDL + V (MCC950)	1	95.7934990439771	NA	NA	1
232	NSW2C	BDL	BDL + V (MCC950)	4	90.3250478011472	NA	NA	2
233	NSW2C	BDL	BDL + V (MCC950)	13	82.1797323135755	NA	NA	1
234	GT34	BDL	BDL + V (MCC950)	-1	100	NA	NA	3
235	GT34	BDL	BDL + V (MCC950)	0	91.8020679468242	NA	NA	1
236	GT34	BDL	BDL + V (MCC950)	1	89.8449039881832	NA	NA	1
237	GT34	BDL	BDL + V (MCC950)	4	87.5184638109306	NA	NA	4
238	GT34	BDL	BDL + MCC950	13	84.7858197932053	NA	NA	5
239	GT35	BDL	BDL + MCC950	-1	100	NA	NA	6
240	GT35	BDL	BDL + MCC950	0	96.0496613995485	NA	NA	3
241	GT35	BDL	BDL + MCC950	1	99.0594431903687	NA	NA	3
242	GT35	BDL	BDL + MCC950	4	94.0180586907449	NA	NA	4
243	GT35	BDL	BDL + MCC950	13	85.7411587659895	NA	NA	4
244	GT36	BDL	BDL + V (MCC950)	-1	100	NA	NA	6
245	GT36	BDL	BDL + V (MCC950)	0	95.1155853840418	NA	NA	1
246	GT36	BDL	BDL + V (MCC950)	1	99.4407158836689	NA	NA	3
247	GT36	BDL	BDL + V (MCC950)	4	91.5734526472781	NA	NA	3
248	GT36	BDL	BDL + V (MCC950)	13	85.1603281133482	NA	NA	5
249	GT37	BDL	BDL + MCC950	-1	100	NA	NA	5
250	GT37	BDL	BDL + MCC950	0	94.8139797068771	NA	NA	2
251	GT37	BDL	BDL + MCC950	1	90.6050357008643	NA	NA	3
252	GT37	BDL	BDL + MCC950	4	90.1164975573093	NA	NA	3
253	GT37	BDL	BDL + MCC950	13	84.141300263059	NA	NA	4
254	GT46	BDL	BDL + MCC950	-1	100	NA	NA	6
255	GT46	BDL	BDL + MCC950	0	94.4218241042345	NA	NA	1
256	GT46	BDL	BDL + MCC950	1	89.2100977198697	NA	NA	4
257	GT46	BDL	BDL + MCC950	4	92.7931596091205	NA	NA	3
258	GT46	BDL	BDL + MCC950	13	89.7394136807818	NA	NA	5
259	GT103	BDL	BDL + MCC950	-1	100	NA	NA	6
260	GT103	BDL	BDL + MCC950	0	96.1919268849962	NA	NA	1
261	GT103	BDL	BDL + MCC950	1	94.1736481340442	NA	NA	4
262	GT103	BDL	BDL + MCC950	4	88.0807311500381	NA	NA	4
263	GT103	BDL	BDL + MCC950	13	85.4912414318355	NA	NA	2
264	GT104	BDL	BDL + V (MCC950)	-1	100	NA	NA	6
265	GT104	BDL	BDL + V (MCC950)	0	95.2727272727273	NA	NA	1
266	GT104	BDL	BDL + V (MCC950)	1	97.010101010101	NA	NA	3
267	GT104	BDL	BDL + V (MCC950)	4	95.5151515151515	NA	NA	6
268	GT104	BDL	BDL + V (MCC950)	13	85.2929292929293	NA	NA	1
269	GT105	BDL	BDL + MCC950	-1	100	NA	NA	6
270	GT105	BDL	BDL + MCC950	0	103.137410643368	NA	NA	1
271	GT105	BDL	BDL + MCC950	1	108.181096108022	NA	NA	3
